Year,State,Continuum of Care (CoC),HUD CoC Number,"2018 CoC Award Amount
($0 indicates that an application was not submitted)",AHAR Part 1 CoC Category,Total Non-DV Beds on 2018 HIC ES+TH,Total Non-DV HMIS Beds on 2018 HIC ES+TH,2018 Bed coverage Percent on HMIS for ES-TH Combined,ES-SH Avg (Days),ES-SH Median (Days),ES-SH-TH Avg (Days),ES-SH-TH Median (Days),Total Persons Exited (SO),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total Persons Exited (ES),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total Persons Exited (TH),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total Persons Exited (SH),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total Persons Exited (PH),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total Persons Exited (SO+ES+TH+SH+PH),Total Persons Returns in 6 mths,Total Persons Returns in 12 mths (should include the 6-month cohort),Total Persons Returns in 24 mths (should include both the 6- and 12-month cohort),Percent Returns in 6 mths,Percent Returns in 12 mths (should include the 6-month cohort),Percent Returns in 24 mths (should include both the 6- and 12-month cohort),Total HMIS Count,Total Stayers (persons),Total Stayers increased earned income,Percent Stayers increased earned income,Total Stayers increased non-employment cash income,Percent Stayers increased non-employment cash income,Total Stayers increased total income,Percent Stayers increased total income,Total Leavers (persons),Total Leavers increased earned income,Percent Leavers increased earned income,Total Leavers increased non-employment cash income,Percent Leavers increased non-employment cash income,Total Leavers increased total income,Percent Leavers increased total income,ES-SH-TH 1st Time Homeless,ES-SH-TH-PH 1st Time Homeless,Total Persons Exiting Street Outreach (SO),Total Persons Exited SO to Temporary Destinations,Total Persons Exited SO to Permanent Destinations,Percent with Successful SO Outcome,"Total Persons Exiting ES, TH, SH, PH-RRH","Total Persons Exiting ES, TH, SH, PH-RRH to Permanent Housing","Percent with Successful  ES, TH, SH, PH-RRH Exit",Total Persons Exiting PH or Remaining in PH at end of reporting period (measure excludes PH-RRH),Total Persons Exited PH to permanent destinations or Remained in PH for 6+ mos (measure excludes PH-RRH),Percent with Successful PH Retention or Exit
2019,AK,Anchorage CoC,AK-500,3982876,Other Largely Urban CoC,961,855,0.889698231,70,34,91,46,21,7,8,9,0.333333333,0.380952381,0.428571429,410,65,81,98,0.158536585,0.197560976,0.23902439,182,21,26,29,0.115384615,0.142857143,0.159340659,0,0,0,0,NA,NA,NA,219,13,44,56,0.059360731,0.200913242,0.255707763,832,106,159,192,0.127403846,0.191105769,0.230769231,3902,69,3,0.043478261,57,0.826086957,57,0.826086957,55,7,0.127272727,17,0.309090909,23,0.418181818,2084,2184,202,3,23,0.128712871,3014,628,0.208360982,472,449,0.951271186
2019,AK,Alaska Balance of State CoC,AK-501,879834,Largely Rural CoC,525,478,0.91047619,44,14,68,20,12,1,1,1,0.083333333,0.083333333,0.083333333,426,92,136,170,0.215962441,0.319248826,0.399061033,227,16,30,36,0.070484581,0.13215859,0.158590308,0,0,0,0,NA,NA,NA,196,8,12,20,0.040816327,0.06122449,0.102040816,861,117,179,227,0.135888502,0.207897793,0.263646922,2202,45,0,0,10,0.222222222,10,0.222222222,47,9,0.191489362,14,0.29787234,22,0.468085106,1358,1477,116,8,12,0.172413793,2009,486,0.241911399,186,172,0.924731183
2019,AL,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,9388061,Largely Suburban CoC,727,580,0.797799175,57,18,74,20,36,6,10,14,0.166666667,0.277777778,0.388888889,570,72,122,170,0.126315789,0.214035088,0.298245614,54,13,14,17,0.240740741,0.259259259,0.314814815,15,5,6,6,0.333333333,0.4,0.4,274,17,33,40,0.062043796,0.120437956,0.145985401,949,113,185,247,0.119072708,0.194942044,0.260273973,3667,682,95,0.139296188,235,0.34457478,294,0.431085044,350,44,0.125714286,59,0.168571429,97,0.277142857,2351,2642,446,76,60,0.304932735,3146,706,0.224411952,1267,1225,0.966850829
2019,AL,Mobile City & County/Baldwin County CoC,AL-501,3902469,Other Largely Urban CoC,311,291,0.935691318,31,9,53,11,9,1,1,3,0.111111111,0.111111111,0.333333333,144,5,5,5,0.034722222,0.034722222,0.034722222,83,0,0,1,0,0,0.012048193,0,0,0,0,NA,NA,NA,186,17,24,30,0.091397849,0.129032258,0.161290323,422,23,30,39,0.05450237,0.071090047,0.092417062,2218,126,4,0.031746032,50,0.396825397,52,0.412698413,81,9,0.111111111,25,0.308641975,32,0.395061728,1580,1764,45,0,12,0.266666667,2121,357,0.168316832,187,180,0.962566845
2019,AL,Florence/Northwest Alabama CoC,AL-502,438282,Largely Rural CoC,121,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,179,481,4,0.008316008,4,0.008316008,6,0.012474012,136,4,0.029411765,6,0.044117647,6,0.044117647,0,14,0,0,0,NA,56,49,0.875,18,10,0.555555556
2019,AL,Huntsville/North Alabama CoC,AL-503,711592,Other Largely Urban CoC,489,182,0.372188139,57,21,61,21,22,0,1,4,0,0.045454545,0.181818182,159,22,27,31,0.13836478,0.169811321,0.194968553,20,2,3,6,0.1,0.15,0.3,0,0,0,0,NA,NA,NA,107,1,2,6,0.009345794,0.018691589,0.056074766,308,25,33,47,0.081168831,0.107142857,0.152597403,1032,28,0,0,2,0.071428571,2,0.071428571,10,0,0,2,0.2,2,0.2,832,907,51,1,10,0.215686275,933,289,0.309753483,106,102,0.962264151
2019,AL,Montgomery City & County CoC,AL-504,1176724,Other Largely Urban CoC,296,296,1,114,29,135,30,13,0,0,1,0,0,0.076923077,192,22,25,35,0.114583333,0.130208333,0.182291667,9,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,123,8,9,12,0.06504065,0.073170732,0.097560976,337,30,34,48,0.089020772,0.100890208,0.142433234,905,104,1,0.009615385,7,0.067307692,8,0.076923077,10,0,0,5,0.5,5,0.5,602,629,18,17,0,0.944444444,772,124,0.160621762,91,88,0.967032967
2019,AL,Tuscaloosa City & County CoC,AL-506,199669,Other Largely Urban CoC,83,83,1,0,0,475,463,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,1,0,0,0,0,0,0,85,6,8,9,0.070588235,0.094117647,0.105882353,86,6,8,9,0.069767442,0.093023256,0.104651163,172,12,16,18,0.069767442,0.093023256,0.104651163,10,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,127,0,0,0,NA,96,81,0.84375,96,96,1
2019,AL,Alabama Balance of State CoC,AL-507,1441654,Largely Rural CoC,98,37,0.37755102,0,0,506,481,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,16,0,0,0,0,0,0,17,0,0,0,0,0,0,86,40,0,0,8,0.2,8,0.2,27,3,0.111111111,13,0.481481481,16,0.592592593,22,160,0,0,0,NA,21,14,0.666666667,71,68,0.957746479
2019,AR,Little Rock/Central Arkansas CoC,AR-500,3027153,Other Largely Urban CoC,525,325,0.619047619,52,22,79,31,0,0,0,0,NA,NA,NA,391,33,53,78,0.084398977,0.135549872,0.199488491,127,7,10,29,0.05511811,0.078740157,0.228346457,0,0,0,0,NA,NA,NA,135,5,9,20,0.037037037,0.066666667,0.148148148,653,45,72,127,0.068912711,0.110260337,0.194486983,1253,256,5,0.01953125,12,0.046875,14,0.0546875,88,53,0.602272727,11,0.125,60,0.681818182,899,1108,0,0,0,NA,1174,456,0.388415673,553,542,0.980108499
